year,p,q,kg,cond,place,spp,g,bicond
2014,36.1884,10.51,0.46,Dry,Hong Kong,Totoaba,460,1
2014,44.573,10.51,0.37,Dry,Hong Kong,Totoaba,370,1
2014,41.2234,10.51,0.07,Dry,Hong Kong,Totoaba,70,1
2014,41.34,10.51,0.72,Dry,Hong Kong,Totoaba,720,1
2014,38.054,10.51,0.12,Dry,Hong Kong,Totoaba,120,1
2014,34.5136,10.51,0.43,Dry,Hong Kong,Totoaba,430,1
2014,32.6162,10.51,0.46,Dry,Hong Kong,Totoaba,460,1
2014,16.43,10.51,0.26,Dry,Hong Kong,Totoaba,260,1
2014,29.15,10.51,0.4,Dry,Hong Kong,Totoaba,400,1
2014,55.65,10.51,0.2,Dry,Hong Kong,Totoaba,200,1
2014,14.9884,10.51,0.3,Dry,Hong Kong,Totoaba,300,1
2014,26.1396,10.51,0.1,Dry,Hong Kong,Totoaba,100,1
2015,40.0574,11.56,0.09,Dry,Hong Kong,Totoaba,90,1
2015,41.5096,11.56,0.08,Dry,Hong Kong,Totoaba,80,1
2015,36.9092,11.56,0.11,Dry,Hong Kong,Totoaba,110,1
2015,50.1062,11.56,0.39,Dry,Hong Kong,Totoaba,390,1
2015,51.304,11.56,0.38,Dry,Hong Kong,Totoaba,380,1
2015,52.1414,11.56,0.37,Dry,Hong Kong,Totoaba,370,1
2015,49.2158,11.56,0.39,Dry,Hong Kong,Totoaba,390,1
2015,55.862,11.56,0.37,Dry,Hong Kong,Totoaba,370,1
2015,49.2158,11.56,0.42,Dry,Hong Kong,Totoaba,420,1
2015,53.4982,11.56,0.09,Dry,Hong Kong,Totoaba,90,1
2015,88.9022,11.56,0.37,Dry,Hong Kong,Totoaba,370,1
2015,92.1246,11.56,0.36,Dry,Hong Kong,Totoaba,360,1
2015,54.5794,11.56,0.51,Dry,Hong Kong,Totoaba,510,1
2015,54.0388,11.56,0.51,Dry,Hong Kong,Totoaba,510,1
2015,31.9696,11.56,0.25,Dry,Hong Kong,Totoaba,250,1
2015,55.491,11.56,0.37,Dry,Hong Kong,Totoaba,370,1
2015,84.9802,11.56,0.24,Dry,Hong Kong,Totoaba,240,1
2015,111.7346,11.56,0.37,Dry,Hong Kong,Totoaba,370,1
2016,24.297,12.72,0.46,Dry,China,Totoaba,460,1
2016,27.7725,12.72,0.46,Dry,China,Totoaba,460,1
2016,32.8545,12.72,0.31,Dry,China,Totoaba,310,1
2016,2.835,12.72,0.03,Dry,China,Totoaba,30,1
2016,7.35,12.72,0.03,Dry,China,Totoaba,30,1
2016,5.985,12.72,0.15,Dry,China,Totoaba,150,1
2016,6.3,12.72,0.25,Dry,China,Totoaba,250,1
2016,16.4955,12.72,0.31,Dry,China,Totoaba,310,1
2016,22.05,12.72,0.1,Dry,China,Totoaba,100,1
2017,23.664,14,0.01,Dry,China,Totoaba,10,1
2017,19.7268,14,0.23,Dry,China,Totoaba,230,1
2017,16.9116,14,0.09,Dry,China,Totoaba,90,1
2017,35.1696,14,0.44,Dry,China,Totoaba,440,1
2017,25.7346,14,0.32,Dry,China,Totoaba,320,1
2017,27.7542,14,0.26,Dry,China,Totoaba,260,1
