Year,Result,Product,Plot,Unit
1,0,Meat,Yield,Tonnes
2,0,Meat,Yield,Tonnes
3,1.45,Meat,Yield,Tonnes
4,191.05,Meat,Yield,Tonnes
5,216.06,Meat,Yield,Tonnes
1,0,Buche,Yield,Tonnes
2,0,Buche,Yield,Tonnes
3,0.01,Buche,Yield,Tonnes
4,1.36,Buche,Yield,Tonnes
5,1.54,Buche,Yield,Tonnes
1,0,Meat,Revenue,USD2018
2,0,Meat,Revenue,USD2018
3,6597.5,Meat,Revenue,USD2018
4,869277.5,Meat,Revenue,USD2018
5,983073,Meat,Revenue,USD2018
1,0,Buche,Revenue,USD2018
2,0,Buche,Revenue,USD2018
3,53480,Buche,Revenue,USD2018
4,7590160,Buche,Revenue,USD2018
5,8948940,Buche,Revenue,USD2018
1,969015,Both,Cost,USD2018
2,969015,Both,Cost,USD2018
3,969015,Both,Cost,USD2018
4,969015,Both,Cost,USD2018
5,969015,Both,Cost,USD2018
1,-969015,Both,Profit,USD2018
2,-969015,Both,Profit,USD2018
3,-908937.5,Both,Profit,USD2018
4,7490422.5,Both,Profit,USD2018
5,8962998,Both,Profit,USD2018
